,0
0,how can i appli to ms - ise program ? 
1,i F1 student . how do i appli ? 
2,what addit document need to appli ? 
3,what minimum requir for gre ? 
4,what minimum requir for ielt ? 
5,what minimum toefl requir ? 
6,recommend letter requir ? 
7,where should i send document ? 
8,how can i get code for classroom door lock ? 
9,how do i make classroom chang request ? 
10,who do i contact about one - time classroom reserv ? 
11,who do i contact about confer / event room reserv ? 
12,how do i reserv engin auditorium ( eng 189 ) ? 
13,who do i contact about classroom internet connect ? 
14,how can i get support for classroom comput or overhead projector ? 
15,ow do i report problem with engin room heat or air condit ? 
16,"how do i report immedi facil problem ( e.g. , water leak , back - up plumb , electr problem ) ? "
17,what requir gpa to chang my major to cmpe and se ? 
18,which cours requir for chang of major ? 
19,could you provid some clarif in how to use chang of major formula ? 
20,what other factor use in rank student ? 
21,"i have just be admit as freshman or as transfer student to sjsu but in differ major ( includ undeclar ) , can i request chang of major to se ( or cmpe ) right away ? "
22,i current sjsu student and i want to chang my major to se ( or cmpe ) which class should i take ? 
23,doe depart intervin to assist student in enrol in class need for chang of major ? 
24,do i need studi plan to chang my major to se ( or cmpe ) ? 
25,"one or more of requir class     full at sjsu , can i take it at commun colleg ? "
26,when can i appli for chang of major and which document need ? 
27,"i F1 student admit to differ major , how can i chang my major to se ( or cmpe ) ? "
28,how can i get list of ge cours ? 
29,"i complet all of my LD ge and i have pass wst . i current have fewer than 60 unit complet and i like to regist for sjsu studi ( area r , s , v , & z ) cours requir upper divis stand , but mysjsu say i do not meet requir . how do i regist for these cours ? "
30,what sjsu studi cours ? 
31,can you waiv 100w cours ?    
32,how can i find out if cours i took at anoth colleg transfer to sjsu ? 
33,"i took LD ( ld ) ge cours at commun colleg or 4 year school and it did not transfer to sjsu as ge , but i like to petit cours for ld ge credit , what form i use ?    "
34,"i took usn institut ( us 1 , us 2 , us3 ) cours at anoth colleg , but cours did not articul , what form should i use ?    "
35,"i took upper divis ge cours at anoth csu , but cours did not articul when i transfer , what form should i use ? "
36,can i take cours at anoth colleg while attend sjsu ?    
37,how do i transfer credit from anoth institut to sjsu ?    
38,i fail cours at sjsu can i retak it at commun colleg ? 
39,do i have to take wst ?    
40,what happen to me if i do not pass wst ?    
41,when should i take wst ? 
42,do i have to be reinstat to major i disqualifi from ? 
43,do i need to complet reinstat petit even though i not disqualifi from sjsu ? 
44,"i complet my reinstat petit , there ani other form i need to complet ?    "
45,when do i have to reappli to sjsu ?    
46,"my reinstat and fsr form approv , i have over 60 unit but i have not complet my basic four skill ( area a1 , a2 , a3 , & b4 ) requir . can i appli for admiss through cal state appli ?    "
47,what gpa determin    my academ stand ? 
48,i walk doe that mean i graduat ? 
49,how i be notifi if i have offici graduat ?    
50,i complet all major and univers requir and believ that i graduat but my record show as not graduat . whom should i contact regard thi ? 
51,how do i chang / add my major / minor ?    
52,"my request to chang / add major / minor deni , what could i do ?    "
53,how do i drop my minor ?    
54,can undergradu student appli for graduat and graduat from OU    ( ou ) statu ? 
55,"i have ear more than 24 OU unit , what can i do to have them count toward by degre requir ? "
56,what special major ?    
57,"what consid "" good academ stand ? "" "
58,when i be consid to be on academ probat ? 
59,when i be remov from academ probat ? 
60,"what 's differ between my sjsu gpa and my "" all colleg "" gpa ? "
61,can i graduat while on probat ? 
62,"i place on administr - academ probat , or probat within my major . there differ type of probat ? "
63,when should i appli for graduat ? 
64,how do i appli for graduat ? 
65,how to chang my graduat date ? 
66,when ’s my enrol date ? 
67,how do i drop class ? 
68,doe waitlist carri over on first day of instruct ? 
69,i automat drop after first day or second day of class if i do n’t attend ? 
70,"how mani unit do i need to be consid "" full - time ? "" "
71,how to appli for leav of absenc ? 
72,how doe grade forgiv work ? 
73,how do i transfer my credit to sjsu from insid institut ? 
74,can i take commun colleg cours while i ' m here at sjsu ? 
75,how mani unit can i transfer to sjsu ? 
76,how do i appli for financi aid ? 
77,do i have to be enrol full - time to receiv financi aid ? 
78,"i complet fafsa or dream act applic , what next step ? "
79,can i fax or email financi aid document ? 
80,when i receiv award notif ? 
81,i complet dream act    applic . what i elig to receiv ? 
82,do i qualifi for dream act ? 
83,what tuition fee deferr ? 
84,how do i get tuition fee deferr ? 
85,doe tuition fee deferr    appli to hous fee ? 
86,hat happen after tuition fee deferr remov ? 
87,how do i know if i have tuition fee deferr on mysjsu ? 
88,i be new student in fall . can i receiv aid for summer class    befor    fall term begin ? 
89,who elig to receiv summer aid ? 
90,how do i appli / request summer aid ? 
91,when my summer financi aid disburs ? 
92,i be take cours at commun colleg and attend sjsu at same time .    can combin unit count as full - time at sjsu ? 
93,can i receiv aid from two school at same time ? 
94,financi aid avail for winter session ? 
95,my financi aid pay my tuition and hous fee ? 
96,what if i receiv addit fund from anoth sourc ? 
97,how    do i sign up for    direct deposit ? 
98,how can    i give my parent or spous access to my financi aid inform ? 
99,when my financi aid disburs ? 
100,i receiv my financi aid all at onc ? 
101,whi ha n't my financi aid disburs ? 
102,what if i chang number of unit enrol after receiv my financi aid award ? 
103,what if i not elig for financi aid ? 
104,i elig for aid if i enrol in OU ? 
105,who complet canva    reflect on colleg write ? 
106,do i need to do    reflect on colleg write    if i have alreadi satisfi english 1a ? 
107,do i need to do    reflect on colleg write    if i have been invit to human program ? 
108,when can i begin canva    reflect ? 
109,what if i wait to find out if i have credit by examin for entri - level colleg write ? 
110,how do i complet    reflect    in canva ? 
111,how do i know how mani point i have earn in       reflect on colleg write 
112,do i have to complet all five    reflect on colleg write    assign at one time ? 
113,how long doe it take to complet canva    reflect on colleg write ? 
114,what cost of    reflect on colleg write ? 
115,can i come to campu to complet    reflect on colleg write ? 
116,how sparta camp    and    reflect on colleg write    relat ? 
117,what happen if i do n't complet    reflect    befor sparta camp orient ? 
118,what advisor and how do i find one 
119,what should i bring with me to meet with my major advisor ? 
120,what cours do i need to take for commun studi major ? 
121,what addit cours should i take in major ? 
122,what lower - divis cours ? what upper - divis cours ? 
123,can i count my commun colleg commun cours toward elect for major ? 
124,can i count cours taken at anoth univers or colleg as core cours for major ? 
125,there requir minimum grade for cours to count toward major ? 
126,how mani cr / nc class can i count toward major ? 
127,what doubl count and can i do it ? 
128,what flag or hold and how do i get it remov ? 
129,do i have to complet minor ? 
130,how do i find out what i need to do for my ge requir ? 
131,what doe it cost to go to sjsu ? 
132,i work dure day . can i obtain msc degre while work ? 
133,i have been in california for x month / year . i entitl to in - state tuition ? 
134,"i do n't have degre in comput scienc , can i be admit ? "
135,i F1 student . there addit inform avail ? 
136,what form of financi assist avail from depart ? 
137,do you accept incomplet applic ? 
138,can you mail me applic materi ? 
139,what gape offic ? 
140,where should i mail my applic materi ? 
141,what applic fee ? 
142,can you to look over my applic befor i submit it ? 
143,"i need to know now whether you accept me later , so that i can decid whether 
   i should tri appli at differ depart or univers . "
144,i fulfil all requir for admiss . i guarante to be accept ? 
145,should i provid letter of recommend ? 
146,where should letter of recommend be mail ? 
147,there special form for recommend letter ? 
148,how can i request confidenti letter of recommend ? 
149,do i need to take gre gener or comput scienc subject exam ? 
150,what gre cs subject test ? 
151,what toefl and gre score do i need to have to be accept ? 
152,what statu of my applic ? 
153,did you recent chang admiss requir ? 
154,what my chanc of be admit ? 
