Question,Answer,Link
is the MSISE program stem certified?,"Yes, the MS-ISE program is a STEM program.
                     ",
how can i apply to the MSISE program?,"Visit Domestic Steps to Admission for details on the application process.
                     ",/graduateadmissions/want-to-apply/domestic-steps-to-admission/
i am an F1 student. how do i apply?,"Visit International Steps to Admission for details on the application process.
                     ",/graduateadmissions/want-to-apply/international-steps-to-admission/
what additional documents are needed to apply?,"The MS-ISE Program does not require any application document beyond the documents
                        required by GAPE.
                     ",
what is the minimum requirement for gre?,"6.5
                     ",
what is the minimum requirement for ielts?,"80
                     ",
what is the minimum toefl requirement?,"No. However, they may be helpful for applicants whose grade-point average (GPA)
                        is lower than 3.0 (on a scale of 4).
                     ",
are recommendation letters required?,"Please send all application documents to GAPE (not to the ISE Department).
                     ",
where should i send documents?,"Please visitGAPEand read the content thoroughly before emailing questions. Deadlines, documents, fees, and other details can be found on GAPE as well.
                     ",/graduateadmissions/
how can i get codes for classroom door locks?,"For ENG rooms 247, 285/7 and 189 contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu.

For rooms maintained by a department, please contact the department’s administrative assistant.

For ENG labs 333, 335, 337, 339, 390-394, 407, and IS 103—all full-time faculty and staff have lab access codes issued to them by ECS. Your department admin should have a copy of those codes, or you can contact Scott Pham, 408-924-4020 or scott.pham@sjsu.edu. Part-time faculty and TAs who teach in these labs should contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu for a temporary access code.",
how do i make a classroom change request?,"If you need to change the room your class is in, please contact your department administrative assistant to prepare and submit the necessary request forms.",
who do i contact about one-time classroom reservations?,"If you need to make a one-time classroom reservation for your class or as a student club advisor, please contact your department administrative assistant to prepare and submit necessary request forms.",
who do i contact about conference/event room reservations?,"Some departments have their own conference rooms. Please check with your department administrative assistant first. ENG 247 and 285/7 are available for faculty and staff to request by contacting Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu. Please contact Sandy at least 72 hours before the event to check for availability.",
how do i reserve the engineering auditorium (eng 189)?,"For one-time, non-classroom usage of the Engineering Auditorium, contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu at least 72 hours before your event to check for availability. Only SJSU faculty and staff may request to use this room.",
who do i contact about classroom internet connection?,Submit an iSupport request : https://isupport.sjsu.edu/engineering/Dashboard,
how can i get support for classroom computers or overhead projectors?,"Contact your department technician about malfunctioning computers or overhead projectors. For problems with the projectors in ENG 189 or 285/7 contact Lee Andersen, 408-924-4134 or lee.andersen@sjsu.edu.",
ow do i report a problem with engineering room heating or air conditioning?,Place a service request on FD&O’s TMA website. FD&O will email you once your request has been approved for work. You can check on the status of your request on the site as well. Please let your department administrative assistant know that you’ve made the request.,
"how do i report an immediate facilities problem (e.g., water leak, backed-up plumbing, electrical problem)?","Call the FD&O help desk 408-924-1990. Be prepared to give your name, phone number, and the room number or building location of the problem.",
what is the required gpa to change my major to cmpe and se?,"The department uses the Impacted Grade Point Averages (GPAs) for transfer students who have completed four course requirements as a basis for change of major. Students need to meet the Impacted GPA in “All College” GPA provided they have passed the four required courses. Also, they will be ranked based on the Impacted GPA on all STEM courses required in the major. The University publishes the impacted GPA annually, which is 2.6 for SE and 2.7 for CMPE for 2016",http://www.sjsu.edu/admissions/impaction/impactionresultstransfer/index.html
which courses are required for change of major?,"The four required courses that need to be completed with a grade of “C” or better are the same as the supplemental courses for transfer students. These courses are:
CMPE: Math 30, Math 31, Physics 50, CMPE 30
SE: Math 30, Math 31, Physics 50, CS 46A.",http://engineering.sjsu.edu/students/future-students/transfer-requirements
could you provide some clarifications in how to use the change of major formulas ?,"The first formula
(GPA) _ 150 + (CRS #1) _ 150+ (CRS #2) _ 150+ (CRS #3) _ 150 + (CRS #4) _ 150
 is the same as the one used for transfer students. It simply means that students should get the impacted GPA for all classes taken provided they have passed the four required courses.",
what are the other factors used in ranking the students?,"The department uses the number and strength of the STEM classes taken as well as the number of attempts. In addition, the total number of units taken, the number of units needed to  graduate in the new major and the SJSU Cumulative GPA will be considered.",
"i have just being admitted as a freshman or as a transfer student to sjsu but in a different major (including undeclared) , can i request a change of major to se (or cmpe) right away?","No, you need to take courses at SJSU that are part of the major for at least one semester.",
i am a current sjsu student and i want to change my major to se (or cmpe) which classes should i take?,"You need first to complete the required courses listed above. Then in order to improve your chances to get to the major, you should take STEM classes required in the major. But you need to remember that getting to the major is not guaranteed even if you meet the requirements. So you need to explore other majors as well.",
does the department intervine to assist students in enrolling in the classes needed for change of major?,Unfortunately no. The department has no control over how other departments manage enrollments in their classes. The only required CMPE course is CMPE 30 which is open to non-major students.,
do i need a study plan to change my major to se (or cmpe)?,No. The department is no longer using study plan for change of major.,
"one or more of the required classes  is full at sjsu, can i take it at a community college?","Yes, as long as they are articulated with SJSU and the grades will be posted at mySJSU at the time of the review.",
when can i apply for change of major and which documents are needed?,"The department starts reviewing applications twice a year: June 15 and January 15. The review process is expected to take about two weeks. So applicants need to submit their applications to the department office by these deadlines. The application consists of an unofficial SJSU transcript and the proper change of major form (either fewer than 90 units or 90 or more units),
http://www.sjsu.edu/registrar/students/change_of_major/index.html
The deprtment will inform the applicants once the review is complete.",
"i am an F1 student admitted to a different major, how can i change my major to se (or cmpe)?",You still need to take courses at SJSU as described above. We follow the same procedure for all students.,
how can i get a list of ge course?,A list of required General Education courses can be found in the Catalog or on your MySJSU generate a MyProgress Report.,
