 Is the MS-ISE program STEM certified?,"Yes, the MS-ISE program is a STEM program.
                     ",
How can I apply to the MS-ISE program?,"Visit Domestic Steps to Admission for details on the application process.
                     ",/graduateadmissions/want-to-apply/domestic-steps-to-admission/
I am an international student. How do I apply?,"Visit International Steps to Admission for details on the application process.
                     ",/graduateadmissions/want-to-apply/international-steps-to-admission/
What additional documents are needed to apply?,"The MS-ISE Program does not require any application document beyond the documents
                        required by GAPE.
                     ",
 What is the minimum requirement for GRE?,"6.5
                     ",
What is the minimum requirement for IELTS?,"80
                     ",
What is the minimum TOEFL requirement?,"No. However, they may be helpful for applicants whose grade-point average (GPA)
                        is lower than 3.0 (on a scale of 4).
                     ",
Are recommendation letters required?,"Please send all application documents to GAPE (not to the ISE Department).
                     ",
Where should I send documents?,"Please visitGAPEand read the content thoroughly before emailing questions. Deadlines, documents,
                        fees, and other details can be found on GAPE as well.
                     ",/graduateadmissions/
How can I get codes for classroom door locks?,"For ENG rooms 247, 285/7 and 189 contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu.

For rooms maintained by a department, please contact the department’s administrative assistant.

For ENG labs 333, 335, 337, 339, 390-394, 407, and IS 103—all full-time faculty and staff have lab access codes issued to them by ECS. Your department admin should have a copy of those codes, or you can contact Scott Pham, 408-924-4020 or scott.pham@sjsu.edu. Part-time faculty and TAs who teach in these labs should contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu for a temporary access code.",
How do I make a classroom change request?,"If you need to change the room your class is in, please contact your department administrative assistant to prepare and submit the necessary request forms.",
Who do I contact about one-time classroom reservations?,"If you need to make a one-time classroom reservation for your class or as a student club advisor, please contact your department administrative assistant to prepare and submit necessary request forms.",
Who do I contact about conference/event room reservations?,"Some departments have their own conference rooms. Please check with your department administrative assistant first. ENG 247 and 285/7 are available for faculty and staff to request by contacting Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu. Please contact Sandy at least 72 hours before the event to check for availability.",
How do I reserve the Engineering Auditorium (ENG 189)?,"For one-time, non-classroom usage of the Engineering Auditorium, contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu at least 72 hours before your event to check for availability. Only SJSU faculty and staff may request to use this room.",
Who do I contact about classroom internet connection?,Submit an iSupport request : https://isupport.sjsu.edu/engineering/Dashboard,
How can I get support for classroom computers or overhead projectors?,"Contact your department technician about malfunctioning computers or overhead projectors. For problems with the projectors in ENG 189 or 285/7 contact Lee Andersen, 408-924-4134 or lee.andersen@sjsu.edu.",
ow do I report a problem with Engineering room heating or air conditioning?,Place a service request on FD&O’s TMA website. FD&O will email you once your request has been approved for work. You can check on the status of your request on the site as well. Please let your department administrative assistant know that you’ve made the request.,
"How do I report an immediate facilities problem (e.g., water leak, backed-up plumbing, electrical problem)?","Call the FD&O help desk 408-924-1990. Be prepared to give your name, phone number, and the room number or building location of the problem.",
What is the required GPA to change my major to CMPE and SE?,"The department uses the Impacted Grade Point Averages (GPAs) for transfer students who have completed four course requirements as a basis for change of major. Students need to meet the Impacted GPA in “All College” GPA provided they have passed the four required courses. Also, they will be ranked based on the Impacted GPA on all STEM courses required in the major. The University publishes the impacted GPA annually, which is 2.6 for SE and 2.7 for CMPE for 2016",http://www.sjsu.edu/admissions/impaction/impactionresultstransfer/index.html
Which courses are required for change of major?,"The four required courses that need to be completed with a grade of “C” or better are the same as the supplemental courses for transfer students. These courses are:
CMPE: Math 30, Math 31, Physics 50, CMPE 30
SE: Math 30, Math 31, Physics 50, CS 46A.",http://engineering.sjsu.edu/students/future-students/transfer-requirements
Could you provide some clarifications in how to use the change of major formulas ?,"The first formula
(GPA) _ 150 + (CRS #1) _ 150+ (CRS #2) _ 150+ (CRS #3) _ 150 + (CRS #4) _ 150
 is the same as the one used for transfer students. It simply means that students should get the impacted GPA for all classes taken provided they have passed the four required courses.",
What are the other factors used in ranking the students?,"The department uses the number and strength of the STEM classes taken as well as the number of attempts. In addition, the total number of units taken, the number of units needed to  graduate in the new major and the SJSU Cumulative GPA will be considered.",
"I have just being admitted as a freshman or as a transfer student to SJSU but in a different major (including undeclared) , can I request a change of major to SE (or CMPE) right away?","No, you need to take courses at SJSU that are part of the major for at least one semester.",
 I am a current SJSU student and I want to change my major to SE (or CMPE) which classes should I take?,"You need first to complete the required courses listed above. Then in order to improve your chances to get to the major, you should take STEM classes required in the major. But you need to remember that getting to the major is not guaranteed even if you meet the requirements. So you need to explore other majors as well.",
Does the department intervine to assist students in enrolling in the classes needed for change of major?,Unfortunately no. The department has no control over how other departments manage enrollments in their classes. The only required CMPE course is CMPE 30 which is open to non-major students.,
Do I need a study plan to change my major to SE (or CMPE)?,No. The department is no longer using study plan for change of major.,
"One or more of the required classes  is full at SJSU, can I take it at a community college?","Yes, as long as they are articulated with SJSU and the grades will be posted at mySJSU at the time of the review.",
When can I apply for change of major and which documents are needed?,"The department starts reviewing applications twice a year: June 15 and January 15. The review process is expected to take about two weeks. So applicants need to submit their applications to the department office by these deadlines. The application consists of an unofficial SJSU transcript and the proper change of major form (either fewer than 90 units or 90 or more units),
http://www.sjsu.edu/registrar/students/change_of_major/index.html
The deprtment will inform the applicants once the review is complete.",
"I am an international student admitted to a different major, how can I change my major to SE (or CMPE)?",You still need to take courses at SJSU as described above. We follow the same procedure for all students.,
How can I get a list of GE course?,A list of required General Education courses can be found in the Catalog or on your MySJSU generate a MyProgress Report.,
"I completed all of my lower division GE and I have passed the WST. I currently have FEWER than 60 units completed and I would like to register for SJSU Studies (Areas R, S, V, & Z) courses requiring upper division standing, but MySJSU says I do not meet the requirements. How do I register for these courses?","Students who have been matriculated at SJSU for at least one semester, who have fewer than 60 units completed at the time of registration, and would like to register for SJSU Studies courses requiring upper division standing will need to file a petition. Students will need to submit the Petition to Enroll in SJSU Studies with Fewer Than 60 Units, obtain major advisor or Department Chair's signature before submitting the petition to Undergraduate Studies. If approved, students are eligible to enroll in SJSU Studies no earlier than the first day of classes. Enrollment is not guaranteed.",
What are SJSU Studies courses?,"SJSU Studies courses (Area R, S, V, & Z) are Advanced/Upper Division GE courses taken after the Writing Skills Test (WST) is passed. Students must have at least sixty earned units and passed the WST in order to take any SJSU Studies Course.",
Can you waived the 100W course? ,"The 100W course can be waived for a few major if a student scored 11 or 12 on their WST, completed GWAR requirement at another CSU school or file a Written Communication II petition and it was approved.",
How can I find out if the course I took at another college transfers to SJSU?,"Students can visit SJSU Articulation for complete listings of articulated courses from other colleges. In addition, students may also visit Assist for California Community College.",
"I took a lower division (LD) GE course at a Community College or 4 year school and it did not transfer to SJSU as GE, but I would like to petition the course for LD GE credit, what form would I use? ",Students who have taken a course that satisfies a specific GE requirement(s) but is not currently articulated will need to file CORE GE Equivalent Course petition.,
"I took an American Institutions (US 1, US 2, US3) course at another college, but the course did not articulate, what form should I use? ",Students should use the American Institutions Equivalent Course petition. Student will need to submit the petition to the Chair of History or Political Science for review before submitting the petition to Undergraduate Studies.,
"I took an upper division GE course at another CSU, but the course did not articulate when I transferred, what form should I use?",Students should use the SJSU Studies Equivalent Course petition. Student will need to submit this petition to their college advising center for review before submitting it to Undergraduate Studies.,
Can I take courses at another college while attending SJSU? ,"Yes, students can take courses at other colleges while matriculated at SJSU. Student should meet with a SJSU advisor before taking such courses.",
How do I transfer credits from another institution to SJSU? ,Submit Official Transcripts to the Admissions Office from the other school. Admissions is located in the first floor of the Student Services Center.,
I failed a course at SJSU can I retake it at a Community College?,"Yes, students can courses at other schools. Students will not received Grade Forgiveness if the course was taken at another school, both attempts need to be from the same institution. ",
Do I have to take the Writing Skills Test? ,"All CSU students must meet the California Graduate Writing Assessment Requirement (GWAR) as part of their degree requirements. At SJSU, for first baccalaureate students, successful completion of the GWAR means: 1) passing the WST and then 2) passing 100W. At SJSU, all first baccalaureate students must pass the WST as a pre-requisite for 100W and SJSU Studies (Advanced GE) courses (Areas R, S, V, and Z).",
What happens to me if I do not pass the WST? ,"You will not be able to take the SJSU Studies courses. If you fail the WST once, it is recommended to take LLD 100A or ENGL 100A. Failure to pass the WST will delay your graduation.  You can only take your required 100W course after you pass the WST.  Many majors require the successful completion of 100W course before taking any upper division coursework in the major.",
When should I take the WST?,You should take the WST immediately after successfully completing GE Area A3 or second semester composition course.,
Do I have to be Reinstated to the major I was disqualified from?,"Students can be reinstated into a particular major.  Students may request their original SJSU or another major, based on their transfer work.  It will be up to the department to reinstate a student into a particular major.  In some cases, it might be more appropriate to reinstate a student to Undeclared in Academic Advising & Retention Services.",
Do I need to complete a Reinstatement petition even though I was not disqualified from SJSU?,"Students who ""stopped out"" on Probation or in Good Standing only need the FSR petition and not a Reinstatement petition.  ",
