 Where can I get a permission code?,"Permission Codes, or Class Permission Numbers, are required to add a course that
                        indicates Department Consent or Instructor Consent. These codes can be obtained from
                        the appropriate department office or instructor. A permission code is needed after
                        open registration has ended.
                     ",
 How many CR/NCR courses can I take?,"Of the units completed for your master's program, 60 percent must be letter-graded
                        coursework. The other 40 percent may be credit/no-credit courses.
                     ",
 Can I take undergraduate classes as a graduate student?,"Yes, graduate students may take undergraduate classes. However, lower division
                        (freshman and sophomore) courses numbered 1-99 cannot be used for graduate degree
                        creditandare not included in the GPA computation. For additional assistance and
                        inquires about registration in undergraduate classes, please visit the Registrar.
                     ",/registrar/
 What is considered a passing grade for graduate students?,"You must complete all courses in your graduate program with grades of A, B, C or
                           CR. Grades of C-, D, F, U, or NC in any course are considered to be unsatisfactory.
                           Any unsatisfactory grades will remain on the transcript and program which will continue
                           to be computed in your grade point averages at SJSU. If the course with the unsatisfactory
                           grade is a core course, you must retake the course to earn a better grade. If the course with the unsatisfactory
                           grade was an elective course, you must petition through your academic advisor to add another course to the graduate
                           degree program with the unit value equivalent to that of the course in which the unsatisfactory
                           grade was received. All students must have a graduate career cumulative GPA of 3.0
                           or above to receive a graduate degree from this university.",
 How do I drop a course from a previous semester?,"You will need to fill out a Retroactive Course Drop form. Retroactive Graduate
                        Petitions also include: Retroactive Add, Drop, or Retroactive Withdrawal. These petitions
                        are available at the Graduate Admissions and Program Evaluations front counter in
                        the Student Services Center. Registrar Services staff process these forms, if you
                        have any questions please contact the Registrar.
                     ",/registrar/
 Can I skip a semester?,"You may take one semester off without reapplying to the University. Summer is not
                        considered a semester (example: If you do not register in the Spring, you would need
                        to register the following Fall to maintain your enrollment).
                     ",
 How can I apply for a leave of absence?,"Leave of absences are handled by the Registrar's office located in the Student
                        Service Center; forms can be obtained from the Registrar.
                     ",/registrar/forms/
 How do I drop out from the graduate program?,"The first thing you should do to sever your ties with the University is contact
                        your graduate advisor and let him or her know that you have chosen to leave their
                        program. If you are currently registered for classes, you will need to submit a withdrawal
                        form. The withdrawal form can be obtained from the Registrar located in the Student Services Center.
                     ",/registrar/forms/
 I have been disqualified from the University. What do I do now?,"For more information regarding the reinstatement of disqualified graduate students,
                        please refer to the Registrar's office. Students who wish to be reinstated following disqualification must see their
                        graduate advisor to develop a program of study appropriate to their proposed major
                        for coursework to be taken through San José State University Extended Studies, Winter
                        Session, or Open University. Courses graded CR/NC are not applicable for reinstatement
                        purposes. The program of study must consist of a minimum of six (6) units per semester
                        of coursework and should contain only upper division (100-level) courses directly
                        related to the student's major. A disqualified student is not permitted to enroll
                        in graduate (200-level) courses. Neither extension courses taken from another institution,
                        nor 400-level courses taken from San José State University Extended Studies, nor lower-division
                        courses taken from this or any other institution, are appropriate for reinstatement
                        purposes for a post-baccalaureate or graduate student.
                     ",/registrar/
" I am in a graduate program already and would like to switch to another program;
                           how is that possible?","Master's or credential students who are active in a graduate program in good academic
                        standing and would like to switch to another program, changing their degree objective,
                        must submit a Change of Program Application to Graduate Admissions and Program Evaluations. This request is evaluated by Graduate
                        Admissions and Programs Evaluations and sent to the graduate advisor for their final
                        decision. All change of programs have to be approved before you can start a new program.
                        The Change ofProgram final decision will be sent to you in the mail.
                     ",/gape/docs/Application%20For%20Change%20Graduate%20Major%203.17.16.pdf
